t,F0,F1,F2,F3,F4,A0,A1,A2,A3,A4
5.51,0.9336282446735623,0.9336282446735623,0.9336282446735623,0.9336282446735623,0.9336282446735623,0.8267669451840315,0.6015902388156166,0.35684147395794863,0.08766403812476353,-0.19279921831732935
5.5200000000000005,0.7860609793799701,0.7860609793799701,0.7860609793799701,0.7860609793799701,0.7860609793799701,0.7862576742511271,0.5281121007216562,0.2920724230932452,0.07669137598690705,-0.13618810112288993
5.53,0.568277227885458,0.568277227885458,0.568277227885458,0.568277227885458,0.568277227885458,0.5742676640759852,0.42702339851604343,0.2491027845918308,0.05560594492553432,-0.12519838728038327
5.54,0.2997309640962864,0.2997309640962864,0.2997309640962864,0.2997309640962864,0.2997309640962864,0.3743826336850489,0.2801480509445257,0.14706935127340315,0.02492777971662066,-0.044691125767782953
5.55,0.004410625958475234,0.004410625958475234,0.004410625958475234,0.004410625958475234,0.004410625958475234,0.13694935916445589,0.0902298108575103,0.053754455114384876,0.025086150637835022,-0.051220331841725794
5.5600000000000005,-0.29130370026025443,-0.29130370026025443,-0.29130370026025443,-0.29130370026025443,-0.29130370026025443,-0.1201313382579452,-0.09085519200895743,-0.061398604987069526,0.006386739171976121,-0.0068889085506232284
5.57,-0.5609967345103319,-0.5609967345103319,-0.5609967345103319,-0.5609967345103319,-0.5609967345103319,-0.3568102993491812,-0.2761885039264627,-0.1474407227914206,-0.03471863739034239,0.06678635745715439
5.58,-0.7805776012557846,-0.7805776012557846,-0.7805776012557846,-0.7805776012557846,-0.7805776012557846,-0.594227644509003,-0.42033676089572863,-0.2293232584813234,-0.05999926527726,0.1211865973690002
5.59,-0.9304317956372528,-0.9304317956372528,-0.9304317956372528,-0.9304317956372528,-0.9304317956372528,-0.7431116477717239,-0.5316539697586365,-0.3104978335970764,-0.0766842448781649,0.16253480199947518
5.6000000000000005,-0.997173288774082,-0.997173288774082,-0.997173288774082,-0.997173288774082,-0.997173288774082,-0.8595335101462414,-0.5967461965866163,-0.33156602504494626,-0.08513907732786698,0.1588689239964472
5.61,-0.9748402618572675,-0.9748402618572675,-0.9748402618572675,-0.9748402618572675,-0.9748402618572675,-0.8663420316567015,-0.6105327595201678,-0.35632087449814054,-0.09560822161802664,0.20025653923942852
5.62,-0.8654276576679446,-0.8654276576679446,-0.8654276576679446,-0.8654276576679446,-0.8654276576679446,-0.8348790913244856,-0.5686995123997471,-0.31136070758641854,-0.08376226375196445,0.151222772606043
5.63,-0.6787089782801025,-0.6787089782801025,-0.6787089782801025,-0.6787089782801025,-0.6787089782801025,-0.6709576986564996,-0.47685930283366545,-0.28577725758136474,-0.07371204093582155,0.1644688161979337
5.64,-0.43136324722835695,-0.43136324722835695,-0.43136324722835695,-0.43136324722835695,-0.43136324722835695,-0.5139167735027474,-0.33959861609679926,-0.18502128568067777,-0.04834860939815251,0.07777854407217993
5.65,-0.1454851220097925,-0.1454851220097925,-0.1454851220097925,-0.1454851220097925,-0.1454851220097925,-0.24051123772942182,-0.1783570568048854,-0.11413682534298715,-0.02877260127580217,0.07283008019429163
5.66,0.15338875586666675,0.15338875586666675,0.15338875586666675,0.15338875586666675,0.15338875586666675,-0.015272321794982273,0.005064390093290203,0.0116084748842387,0.0014978754958490774,-0.01677892293797779
5.67,0.43856087301177815,0.43856087301177815,0.43856087301177815,0.43856087301177815,0.43856087301177815,0.276192625737835,0.18242783165547996,0.09557015502752207,0.02461815383465343,-0.03737471988438485
5.68,0.6845576535152035,0.6845576535152035,0.6845576535152035,0.6845576535152035,0.6845576535152035,0.48537467984909,0.3490686076070827,0.20672919351497496,0.05002961975604654,-0.10992277266090834
5.69,0.8694049376148119,0.8694049376148119,0.8694049376148119,0.8694049376148119,0.8694049376148119,0.698412277831674,0.4793530162895227,0.2711274868139107,0.06672827742733396,-0.12623590250356492
