Time (s),A0 (g),Force(N)
0.599,-0.010000000000000009,0.06
0.5995,0.0,-0.25
0.6,0.0,0.82
0.600501,0.0,0.06
0.601,0.0,0.36
0.6015,0.0,0.84
0.602,-0.010000000000000009,0.4
0.6025,-0.010000000000000009,0.98
0.603,0.0,0.3
0.6035,-0.010000000000000009,0.6
0.604,-0.010000000000000009,-0.42
0.6045,-0.010000000000000009,-0.29
0.605,0.0,0.44
0.605501,0.0,-0.1
0.606001,-0.010000000000000009,-0.16
0.6065,-0.010000000000000009,0.15
0.607,-0.010000000000000009,0.13
0.6075,-0.010000000000000009,-0.46
0.608,-0.010000000000000009,-0.41
0.608501,-0.010000000000000009,-0.12
0.609,0.0,-0.45
0.6095,-0.010000000000000009,0.61
0.61,-0.020000000000000018,0.24
0.6105,-0.010000000000000009,0.72
0.611,-0.010000000000000009,0.17
0.6115,0.0,0.59
0.612,-0.010000000000000009,-0.16
0.6125,-0.010000000000000009,0.16
0.613,0.0,0.03
0.6135,0.0,0.63
0.614,0.0,-0.16
0.6145,0.0,0.7
0.615,-0.010000000000000009,0.59
0.6155,-0.010000000000000009,0.09
0.616,-0.010000000000000009,-0.35
0.6165,-0.010000000000000009,0.75
0.617,0.0,0.45
0.6175,-0.010000000000000009,-0.65
0.618,0.020000000000000018,-0.47
0.618501,0.0,0.9
0.619,0.0,-0.34
0.6195,-0.010000000000000009,0.75
0.62,0.0,0.33
0.6205,0.0,0.77
0.621,0.0,-0.0
0.6215,0.0,0.18
0.622,-0.010000000000000009,0.3
0.6225,0.0,0.56
0.623,0.0,-0.01
0.6235,0.0,0.52
0.624,-0.010000000000000009,0.22
0.6245,0.0,0.14
0.625,0.0,0.7
0.6255,-0.010000000000000009,0.53
0.626,0.0,0.14
0.6265,-0.010000000000000009,0.53
0.627,0.0,-0.04
0.627501,0.0,-0.76
0.628,-0.010000000000000009,-0.67
0.6285,0.0,0.35
0.629,-0.010000000000000009,0.08
0.6295,-0.010000000000000009,0.33
0.63,-0.020000000000000018,0.2
0.6305,-0.010000000000000009,0.74
0.631,-0.010000000000000009,-0.0
0.631501,-0.010000000000000009,-0.06
0.632,-0.010000000000000009,0.44
0.632501,-0.010000000000000009,-0.05
0.633,0.0,-0.38
0.6335,0.0,0.1
0.634,-0.010000000000000009,0.17
0.6345,-0.010000000000000009,0.12
0.635,-0.010000000000000009,-0.01
0.6355,-0.020000000000000018,-0.28
0.636,-0.010000000000000009,0.16
0.636501,-0.010000000000000009,0.24
0.637,0.0,0.43
0.6375,-0.010000000000000009,0.01
0.638,0.0,0.36
0.6385,0.0,0.18
0.639,0.0,0.27
0.6395,0.0,-0.41
0.64,0.0,-0.4
0.6405,0.0,0.48
0.641,-0.010000000000000009,0.61
0.6415,0.0,0.21
