Time (s),A0 (g)
0.678848,0.01
0.679764,0.18
0.68068,0.11
0.681604,0.04
0.682524,0.18
0.68344,0.22
0.684356,-0.03
0.68528,0.11
0.686196,0.18
0.68712,-0.03
0.688044,0.11
0.688964,-0.07
0.689888,0.11
0.6908,0.08
0.69172,-0.14
0.692656,0.15
0.693576,0.01
0.694488,0.08
0.695392,0.15
0.696312,0.08
0.697216,-0.07
0.698136,0.15
0.699048,0.11
0.69996,-0.07
0.700892,0.11
0.701816,-0.14
0.702752,0.15
0.703672,-0.17
0.704604,0.15
0.705528,0.01
0.706436,0.11
0.707348,0.18
0.70826,-0.21
0.709188,0.15
0.710112,0.11
0.711032,0.04
0.711948,0.15
0.712872,-0.03
0.7138,0.11
0.71472,0.11
0.71564,-0.17
0.716568,0.18
0.71748,0.01
0.718388,0.08
0.7193,0.18
0.72022,-0.17
0.72116,0.15
0.72208,0.01
0.722992,0.11
0.723912,0.18
0.724824,-0.17
0.72576,0.11
0.726676,-0.07
0.7276,0.11
0.72852,0.15
0.729432,0.08
0.730348,0.08
0.73126,0.08
0.732172,-0.14
0.733112,0.15
0.734024,0.11
0.734936,-0.07
0.735864,0.11
0.736784,-0.14
0.73772,0.15
0.73864,-0.07
0.739564,0.11
0.740488,0.11
0.741404,-0.1
0.742332,0.15
0.743244,0.01
0.744152,0.11
0.745068,0.11
0.745992,-0.17
0.746924,0.18
0.747848,0.11
0.748768,0.11
0.749688,0.15
0.750608,0.11
0.751528,0.08
0.752436,0.15
0.753348,0.08
0.754252,-0.17
0.755184,0.11
0.756104,-0.1
0.757036,0.15
0.75796,0.11
0.75888,0.08
0.759792,0.18
0.760712,-0.17
0.76164,0.18
0.762552,0.08
0.76346,-0.17
0.764392,0.15
0.765304,-0.07
0.766232,0.08
0.767144,0.11
0.768064,0.11
0.768984,0.08
0.769896,0.11
0.77082,0.11
0.77174,-0.07
0.772664,0.15
0.773584,-0.17
0.77452,0.15
0.775432,0.08
0.776348,0.08
0.777256,0.18
0.77818,-0.14
0.779112,0.11
0.780036,0.11
0.780956,-0.07
0.78188,0.11
0.782808,0.08
0.78372,-0.1
0.784652,0.18
0.785576,0.04
0.786488,0.15
0.7874,-0.1
0.78832,0.08
0.78922,0.11
0.79014,0.04
0.791056,0.11
0.791984,-0.14
0.79292,0.15
0.79384,0.01
0.794752,0.11
0.795672,0.22
0.796596,-0.03
0.79752,0.08
0.79842,0.08
0.799324,-0.1
0.800252,0.15
0.801168,0.08
0.80208,0.08
0.802992,0.11
0.803912,0.04
0.804828,0.15
0.805752,0.11
0.806668,-0.03
0.807592,0.15
0.808508,0.11
0.809428,0.11
0.810348,0.22
0.811268,-0.14
0.8122,0.22
0.813132,-0.17
0.814068,0.15
0.814992,0.04
0.8159,0.08
0.816812,0.11
0.817732,0.01
0.818648,0.15
0.819576,0.08
0.820488,0.08
0.821392,0.11
0.822316,0.04
0.823228,0.08
0.82414,0.18
0.82506,-0.17
0.825992,0.11
0.826912,0.04
0.827828,0.11
0.828752,0.08
0.829672,0.04
0.830588,0.11
0.831512,0.01
0.832428,0.11
0.83334,-0.17
0.834268,0.15
0.83518,0.11
0.836104,-0.03
0.83704,0.18
0.83796,-0.17
0.838892,0.11
0.839816,0.01
0.840732,0.08
0.841648,0.15
0.84256,0.04
0.843476,-0.1
0.8444,0.15
0.845312,-0.14
0.846252,0.15
0.847172,0.08
0.848088,0.04
0.849004,0.22
0.849928,-0.17
0.850868,0.15
0.851784,0.04
0.8527,0.15
0.85362,0.11
0.854544,0.08
0.85546,0.11
0.85638,-0.17
0.857312,0.15
0.858224,0.08
0.859144,-0.03
0.860072,0.22
0.860988,-0.17
0.86192,0.11
0.862836,0.08
0.863752,-0.07
0.86468,0.22
0.8656,-0.17
0.86654,0.11
0.86746,-0.17
0.868392,0.11
0.869308,-0.17
0.870232,0.11
0.871156,-0.03
0.87208,0.08
0.872996,0.11
0.87392,-0.17
0.87486,0.08
0.875776,0.11
0.876696,0.08
0.877616,0.22
0.87854,-0.14
0.87948,0.15
0.880388,-0.03
0.881308,0.15
0.88222,0.08
0.883136,0.08
0.884048,0.11
0.884968,-0.17
0.885912,0.15
0.886832,0.08
0.887744,-0.07
0.888664,0.15
0.889576,0.22
0.890492,-0.1
0.891424,0.11
0.89234,-0.14
0.893272,0.15
0.894196,-0.1
0.895132,0.11
0.896056,-0.17
0.897,0.18
0.89792,0.08
0.898824,-0.03
0.899752,0.11
0.900668,-0.17
0.901604,0.11
0.902528,-0.1
0.903464,0.15
0.904388,0.11
0.905308,0.08
0.90622,0.11
0.907144,-0.17
0.90808,0.08
0.908988,0.18
0.909908,-0.03
0.91084,0.11
0.911764,-0.17
0.912704,0.08
0.913616,-0.03
0.91454,0.22
0.91546,-0.14
0.916392,0.18
0.9173,-0.1
0.918224,0.08
0.919128,0.18
