Time (s),A0 (g),Force(N)
13.0725,-0.09999999999999998,0.03
13.073,0.050000000000000044,-0.09
13.0735,-0.030000000000000027,0.08
13.074,-0.06999999999999995,0.12
13.0745,0.07000000000000006,0.23
13.075,-0.14,0.1
13.0755,0.1100000000000001,0.18
13.076,-0.12,0.22
13.0765,0.030000000000000027,0.06
13.077,-0.010000000000000009,-0.05
13.0775,-0.09999999999999998,0.11
13.078,0.09000000000000008,0.27
13.0785,-0.13,0.14
13.079,0.10000000000000009,-0.02
13.0795,-0.08999999999999997,-0.02
13.08,0.010000000000000009,0.15
13.0805,0.020000000000000018,0.1
13.081,-0.09999999999999998,-0.28
13.081501,0.10000000000000009,0.3
13.082,-0.13,0.09
13.082501,0.09000000000000008,0.16
13.083,-0.05999999999999994,0.07
13.0835,0.0,0.16
13.084,0.030000000000000027,0.18
13.0845,-0.14,0.18
13.085,0.10000000000000009,-0.01
13.085501,-0.13,0.18
13.086,0.08000000000000007,0.06
13.0865,-0.04999999999999993,0.11
13.087,-0.030000000000000027,-0.02
13.0875,0.06000000000000005,0.2
13.088,-0.13,0.21
13.088501,0.1100000000000001,0.15
13.089,-0.14,0.03
13.0895,0.050000000000000044,-0.09
13.09,-0.030000000000000027,0.09
13.0905,-0.04999999999999993,0.02
13.091,0.08000000000000007,0.05
13.0915,-0.13,0.08
13.092,0.1200000000000001,0.14
13.092501,-0.12,0.14
13.093,0.040000000000000036,0.17
13.0935,-0.020000000000000018,0.11
13.094,-0.06999999999999995,0.03
13.0945,0.09000000000000008,0.2
13.095,-0.13,0.04
13.0955,0.1100000000000001,-0.03
13.096,-0.09999999999999998,0.53
13.096501,0.030000000000000027,-0.07
13.097,-0.010000000000000009,0.11
13.0975,-0.07999999999999996,0.04
13.098,0.1100000000000001,0.04
13.0985,-0.13,0.26
13.099,0.10000000000000009,0.01
13.0995,-0.08999999999999997,-0.22
13.1,0.010000000000000009,0.02
13.1005,0.030000000000000027,0.03
13.101,-0.10999999999999999,0.15
13.101501,0.1100000000000001,0.21
13.102,-0.13,0.17
13.1025,0.10000000000000009,0.14
13.103,-0.06999999999999995,-0.16
13.1035,0.0,0.14
13.104,0.030000000000000027,0.48
13.1045,-0.10999999999999999,0.11
13.105,0.1100000000000001,0.26
13.1055,-0.13,-0.07
13.106,0.09000000000000008,0.26
13.1065,-0.05999999999999994,-0.08
13.107,-0.030000000000000027,0.02
13.107501,0.07000000000000006,0.2
13.108,-0.13,-0.0
13.1085,0.1100000000000001,0.11
13.109,-0.13,0.1
13.1095,0.07000000000000006,0.17
13.11,-0.040000000000000036,0.13
13.1105,-0.04999999999999993,0.03
13.111,0.08000000000000007,0.22
13.1115,-0.13,0.5
13.112,0.1100000000000001,0.16
13.112501,-0.12,0.1
13.113,0.06000000000000005,0.2
13.1135,-0.020000000000000018,0.08
13.114,-0.06999999999999995,0.13
13.114501,0.10000000000000009,0.12
13.115,-0.14,0.1
13.1155,0.10000000000000009,0.17
13.116,-0.10999999999999999,0.25
13.1165,0.030000000000000027,-0.29
13.117,0.0,0.01
13.1175,-0.07999999999999996,0.12
13.118,0.10000000000000009,-0.12
13.1185,-0.14,0.04
13.119,0.1100000000000001,0.1
13.119501,-0.08999999999999997,0.25
13.120001,0.0,0.09
13.1205,0.020000000000000018,0.14
13.121,-0.08999999999999997,0.2
13.1215,0.1100000000000001,0.01
13.122,-0.14,0.11
13.122501,0.10000000000000009,-0.02
13.123,-0.07999999999999996,0.17
13.123501,-0.010000000000000009,0.15
13.124001,0.040000000000000036,0.35
13.1245,-0.09999999999999998,0.02
13.125,0.10000000000000009,0.18
13.1255,-0.14,0.02
13.126,0.07000000000000006,0.15
13.1265,-0.05999999999999994,0.28
13.127,-0.030000000000000027,-0.0
13.1275,0.06000000000000005,0.31
13.128,-0.13,0.13
13.128501,0.1100000000000001,0.34
13.129,-0.13,0.22
13.1295,0.06000000000000005,0.03
13.13,-0.040000000000000036,0.33
13.1305,-0.04999999999999993,0.1
13.131,0.06000000000000005,0.48
13.1315,-0.14,0.14
13.132,0.1100000000000001,-0.09
13.132501,-0.14,0.25
13.133,0.050000000000000044,0.37
13.133501,0.0,0.3
13.134,-0.07999999999999996,-0.0
13.1345,0.08000000000000007,0.1
13.135,-0.13,0.1
13.1355,0.1100000000000001,0.13
13.136,-0.09999999999999998,-0.07
13.1365,0.030000000000000027,-0.29
13.137,0.0,0.23
13.1375,-0.06999999999999995,0.33
13.138,0.09000000000000008,0.15
13.138501,-0.14,0.02
13.139,0.10000000000000009,0.13
13.1395,-0.08999999999999997,0.1
13.14,0.020000000000000018,0.03
13.1405,0.030000000000000027,-0.09
13.141,-0.08999999999999997,0.18
13.1415,0.10000000000000009,0.11
13.142,-0.15000000000000002,0.12
13.1425,0.09000000000000008,-0.22
13.143,-0.05999999999999994,0.04
13.1435,-0.010000000000000009,0.06
13.144,0.040000000000000036,0.12
13.1445,-0.12,0.13
13.145,0.1200000000000001,0.2
13.1455,-0.13,0.09
13.146,0.08000000000000007,-0.19
13.1465,-0.05999999999999994,0.12
13.147,-0.020000000000000018,0.1
13.147501,0.06000000000000005,0.28
13.148,-0.12,0.22
13.1485,0.1100000000000001,0.12
13.149,-0.13,0.21
13.1495,0.07000000000000006,0.14
13.15,-0.020000000000000018,0.1
13.150501,-0.04999999999999993,0.29
13.151,0.06000000000000005,0.34
13.1515,-0.14,0.09
13.152,0.10000000000000009,-0.0
13.1525,-0.13,0.31
13.153,0.050000000000000044,-0.07
13.1535,-0.010000000000000009,0.33
13.154,-0.06999999999999995,0.33
13.1545,0.10000000000000009,0.14
13.155,-0.13,0.07
13.155501,0.13000000000000012,0.27
13.156,-0.09999999999999998,0.11
13.1565,0.040000000000000036,0.07
13.157,0.0,0.16
13.1575,-0.08999999999999997,0.18
13.158,0.10000000000000009,-0.07
13.1585,-0.14,0.06
13.159,0.10000000000000009,0.15
13.159501,-0.09999999999999998,0.14
13.16,0.020000000000000018,0.21
13.1605,0.030000000000000027,0.03
13.161,-0.10999999999999999,0.11
13.1615,0.1100000000000001,-0.0
13.162,-0.15000000000000002,0.07
13.1625,0.10000000000000009,0.14
13.163,-0.09999999999999998,0.1
13.1635,0.0,0.13
13.164,0.040000000000000036,0.18
13.1645,-0.13,0.1
13.165,0.10000000000000009,0.27
13.1655,-0.13,0.19
13.166,0.07000000000000006,0.23
13.1665,-0.040000000000000036,-0.26
13.167,-0.030000000000000027,-0.01
13.167501,0.06000000000000005,0.1
13.168,-0.14,0.1
13.1685,0.13000000000000012,0.16
13.169,-0.13,0.19
13.1695,0.07000000000000006,0.15
13.17,-0.040000000000000036,-0.03
13.170501,-0.04999999999999993,0.07
13.171,0.09000000000000008,-0.21
13.1715,-0.13,-0.01
13.172,0.10000000000000009,0.05
13.1725,-0.13,0.15
13.173,0.050000000000000044,-0.04
13.1735,-0.010000000000000009,0.07
13.174,-0.07999999999999996,0.04
13.1745,0.09000000000000008,0.09
13.175,-0.15000000000000002,0.24
13.1755,0.1100000000000001,0.15
13.176,-0.08999999999999997,0.16
13.1765,0.030000000000000027,0.21
13.177,0.010000000000000009,0.1
13.1775,-0.07999999999999996,0.17
13.178,0.09000000000000008,0.03
13.1785,-0.14,-0.0
13.179,0.09000000000000008,0.17
13.1795,-0.08999999999999997,-0.01
13.18,0.010000000000000009,0.07
13.1805,0.030000000000000027,0.06
13.181,-0.10999999999999999,0.12
13.1815,0.10000000000000009,0.09
13.182,-0.14,0.15
13.1825,0.08000000000000007,0.06
13.183,-0.06999999999999995,0.46
13.183501,-0.020000000000000018,0.04
13.184,0.050000000000000044,0.2
13.1845,-0.12,0.14
13.185,0.1100000000000001,0.3
13.1855,-0.13,0.09
13.186,0.10000000000000009,-0.11
13.1865,-0.04999999999999993,-0.0
13.187,-0.040000000000000036,0.33
13.1875,0.06000000000000005,0.21
13.188,-0.10999999999999999,0.22
13.1885,0.1100000000000001,0.18
13.189,-0.12,0.13
13.1895,0.07000000000000006,0.04
13.19,-0.04999999999999993,0.17
13.1905,-0.05999999999999994,0.17
13.191,0.08000000000000007,0.17
13.1915,-0.13,0.14
13.192,0.1100000000000001,0.07
13.1925,-0.12,0.15
13.193,0.040000000000000036,0.15
13.1935,-0.030000000000000027,0.1
13.194,-0.06999999999999995,0.26
13.1945,0.08000000000000007,0.16
13.195,-0.15000000000000002,0.27
13.1955,0.10000000000000009,0.27
13.196,-0.08999999999999997,0.4
13.1965,0.030000000000000027,0.02
13.197,-0.010000000000000009,0.15
13.1975,-0.08999999999999997,0.18
13.198,0.1100000000000001,-0.07
13.1985,-0.13,0.19
13.199,0.10000000000000009,0.13
13.199501,-0.09999999999999998,0.01
13.2,0.010000000000000009,0.22
13.2005,0.030000000000000027,0.08
13.201,-0.10999999999999999,0.23
13.2015,0.1100000000000001,0.14
13.202,-0.14,0.16
13.2025,0.10000000000000009,0.21
13.203,-0.05999999999999994,0.3
13.2035,-0.020000000000000018,0.24
13.204,0.040000000000000036,0.18
13.2045,-0.12,0.06
