Time (s),A0 (g),Force(N)
3.796,0.0,0.1
3.7965,0.0,0.04
3.797,-0.010000000000000009,0.17
3.7975,0.0,0.11
3.798,-0.010000000000000009,0.05
3.7985,0.0,0.01
3.799,-0.010000000000000009,0.1
3.7995,-0.010000000000000009,0.13
3.8,-0.010000000000000009,0.18
3.8005,-0.010000000000000009,0.33
3.801,0.0,0.21
3.8015,0.0,0.23
3.802,-0.010000000000000009,0.19
3.8025,0.0,0.17
3.803,-0.010000000000000009,0.05
3.8035,-0.010000000000000009,0.27
3.804,-0.010000000000000009,0.24
3.8045,0.010000000000000009,0.11
3.805,-0.010000000000000009,-0.01
3.805501,0.010000000000000009,0.25
3.806,-0.010000000000000009,0.06
3.8065,0.0,0.17
3.807,-0.010000000000000009,0.28
3.807501,0.0,0.18
3.808,0.0,0.21
3.808501,0.0,0.27
3.809,-0.010000000000000009,0.18
3.809501,0.0,-0.02
3.81,-0.020000000000000018,0.18
3.8105,0.010000000000000009,0.31
3.811,-0.020000000000000018,0.13
3.8115,0.010000000000000009,0.25
3.812,-0.010000000000000009,0.17
3.8125,0.0,0.16
3.813,0.0,0.21
3.8135,0.0,0.11
3.814,-0.010000000000000009,0.15
3.8145,0.0,-0.01
3.815,-0.010000000000000009,0.28
3.8155,0.0,0.01
3.816,0.0,-0.04
3.8165,-0.020000000000000018,0.27
3.817,0.0,0.14
3.817501,0.0,0.15
3.818,0.0,0.15
3.8185,-0.010000000000000009,0.11
3.819,0.0,0.1
3.819501,-0.010000000000000009,0.11
3.82,-0.010000000000000009,0.21
3.8205,0.0,0.04
3.821,0.010000000000000009,0.06
3.821501,-0.010000000000000009,0.18
3.822,0.0,0.17
3.8225,-0.010000000000000009,0.15
3.823,-0.010000000000000009,0.12
3.8235,-0.010000000000000009,0.2
3.824,0.0,0.11
3.8245,0.0,0.15
3.825,-0.010000000000000009,0.12
3.8255,0.0,0.08
3.826,0.0,0.3
3.826501,0.0,0.05
3.827,0.0,0.22
3.8275,-0.020000000000000018,0.05
3.828,0.0,0.05
3.828501,0.0,0.07
3.829,-0.010000000000000009,0.01
3.8295,-0.010000000000000009,0.15
3.83,-0.010000000000000009,0.19
3.8305,0.0,-0.03
3.831,0.0,0.14
3.8315,0.0,0.02
3.832,-0.010000000000000009,-0.02
3.8325,-0.010000000000000009,0.2
3.833,-0.010000000000000009,0.27
3.8335,-0.020000000000000018,0.25
3.834,-0.010000000000000009,0.09
3.834501,0.0,0.18
3.835,-0.010000000000000009,0.17
3.8355,-0.010000000000000009,0.03
3.836,-0.010000000000000009,0.15
3.836501,0.010000000000000009,0.11
3.837,0.0,0.15
3.8375,0.0,0.14
3.838,-0.010000000000000009,0.18
3.8385,-0.020000000000000018,0.16
3.839,0.0,0.21
3.8395,-0.010000000000000009,0.19
3.84,-0.010000000000000009,-0.04
3.8405,0.0,-0.02
3.841,0.0,0.12
3.8415,-0.010000000000000009,0.13
3.842,-0.010000000000000009,0.36
3.8425,-0.010000000000000009,0.07
3.843,0.0,0.07
3.8435,0.0,0.17
3.844,-0.020000000000000018,0.15
3.8445,0.0,0.11
3.845,-0.010000000000000009,0.08
3.8455,-0.010000000000000009,0.09
3.846,-0.010000000000000009,0.11
3.8465,0.010000000000000009,0.03
3.847,-0.010000000000000009,0.18
3.8475,0.0,0.2
3.848,-0.010000000000000009,0.15
3.8485,0.0,0.12
3.849,-0.010000000000000009,0.11
3.8495,0.0,-0.03
3.85,-0.010000000000000009,0.15
3.8505,-0.010000000000000009,0.12
3.851,-0.010000000000000009,0.11
3.8515,-0.020000000000000018,0.15
3.852,-0.010000000000000009,0.1
3.8525,-0.010000000000000009,0.2
3.853,-0.010000000000000009,0.27
3.853501,-0.010000000000000009,0.22
3.854,-0.010000000000000009,0.3
3.8545,-0.020000000000000018,0.21
3.855,-0.020000000000000018,0.14
3.8555,-0.010000000000000009,0.09
3.856,-0.010000000000000009,0.09
