Time (s),A0 (g),Force(N)
24.292001,0.050000000000000044,0.11
24.2925,-0.12,0.12
24.293,0.08000000000000007,0.09
24.293501,-0.07999999999999996,0.16
24.294,-0.010000000000000009,0.08
24.2945,0.030000000000000027,0.14
24.295001,-0.09999999999999998,0.18
24.2955,0.09000000000000008,0.13
24.296,-0.08999999999999997,0.16
24.2965,0.010000000000000009,0.14
24.297,0.020000000000000018,0.1
24.2975,-0.08999999999999997,0.11
24.298001,0.09000000000000008,0.22
24.2985,-0.10999999999999999,0.12
24.299,0.020000000000000018,0.04
24.2995,0.0,0.1
24.3,-0.07999999999999996,0.24
24.3005,0.08000000000000007,0.17
24.301,-0.09999999999999998,0.11
24.3015,0.050000000000000044,0.18
24.302,-0.010000000000000009,0.07
24.3025,-0.06999999999999995,0.1
24.303,0.06000000000000005,0.1
24.3035,-0.10999999999999999,0.26
24.304,0.06000000000000005,0.06
24.3045,-0.030000000000000027,0.15
24.305001,-0.04999999999999993,0.12
24.3055,0.08000000000000007,0.15
24.306,-0.12,0.23
24.3065,0.06000000000000005,0.1
24.307,-0.04999999999999993,0.13
24.3075,-0.030000000000000027,0.09
24.308,0.050000000000000044,0.13
24.3085,-0.10999999999999999,0.11
24.309,0.07000000000000006,0.11
24.3095,-0.05999999999999994,0.07
24.31,-0.030000000000000027,0.11
24.3105,0.050000000000000044,0.16
24.311,-0.10999999999999999,0.24
24.3115,0.08000000000000007,0.06
24.312,-0.07999999999999996,0.1
24.3125,-0.010000000000000009,-0.09
24.313,0.030000000000000027,0.22
24.3135,-0.09999999999999998,0.18
24.314001,0.08000000000000007,0.06
24.3145,-0.08999999999999997,0.01
24.315,0.010000000000000009,0.11
24.3155,0.020000000000000018,0.14
24.316,-0.09999999999999998,0.15
24.3165,0.09000000000000008,0.12
24.317001,-0.09999999999999998,0.06
24.3175,0.030000000000000027,0.09
24.318,0.0,0.02
24.3185,-0.07999999999999996,0.1
24.319001,0.09000000000000008,0.02
24.3195,-0.10999999999999999,0.24
24.32,0.040000000000000036,0.18
24.3205,0.0,0.22
24.321001,-0.07999999999999996,0.01
24.3215,0.07000000000000006,0.03
24.322,-0.10999999999999999,0.11
24.3225,0.050000000000000044,0.19
24.323,-0.030000000000000027,0.16
24.3235,-0.05999999999999994,0.23
24.324,0.08000000000000007,0.11
24.3245,-0.12,0.15
24.325,0.08000000000000007,0.02
24.3255,-0.040000000000000036,0.25
24.326001,-0.05999999999999994,0.1
24.3265,0.07000000000000006,0.16
24.327,-0.12,0.18
24.3275,0.07000000000000006,-0.05
24.328,-0.04999999999999993,0.1
24.3285,-0.030000000000000027,0.07
24.329,0.06000000000000005,0.19
24.3295,-0.10999999999999999,-0.12
24.33,0.09000000000000008,0.13
24.3305,-0.05999999999999994,0.07
24.331,-0.010000000000000009,0.17
24.3315,0.050000000000000044,0.2
24.332,-0.10999999999999999,0.09
24.3325,0.09000000000000008,0.21
24.333,-0.07999999999999996,0.18
24.3335,0.0,0.07
24.334001,0.040000000000000036,0.13
24.3345,-0.10999999999999999,0.1
24.335,0.09000000000000008,0.17
24.3355,-0.08999999999999997,0.09
24.336,0.020000000000000018,0.16
24.3365,0.020000000000000018,0.06
24.337,-0.09999999999999998,0.16
24.3375,0.09000000000000008,0.09
24.338,-0.08999999999999997,-0.0
24.3385,0.030000000000000027,0.14
24.339,0.010000000000000009,0.02
24.3395,-0.06999999999999995,0.06
24.34,0.09000000000000008,0.1
24.3405,-0.10999999999999999,0.01
24.341,0.040000000000000036,0.23
24.3415,0.0,-0.0
24.342001,-0.06999999999999995,0.25
24.3425,0.10000000000000009,-0.0
24.343,-0.10999999999999999,0.1
24.3435,0.050000000000000044,0.1
24.344,-0.020000000000000018,0.09
24.3445,-0.06999999999999995,0.08
24.345,0.08000000000000007,0.16
24.345501,-0.12,0.09
24.346,0.06000000000000005,-0.02
24.3465,-0.030000000000000027,0.01
24.347,-0.05999999999999994,0.16
24.3475,0.08000000000000007,0.11
24.348,-0.12,0.15
24.3485,0.08000000000000007,0.13
24.349,-0.05999999999999994,0.18
24.3495,-0.040000000000000036,0.15
24.35,0.07000000000000006,0.29
24.3505,-0.10999999999999999,0.2
24.351001,0.09000000000000008,0.18
24.3515,-0.05999999999999994,-0.03
24.352,-0.030000000000000027,-0.01
24.3525,0.06000000000000005,0.18
24.353,-0.12,0.21
24.3535,0.10000000000000009,0.17
24.354,-0.06999999999999995,0.2
24.354501,-0.020000000000000018,0.05
24.355,0.050000000000000044,0.17
24.3555,-0.10999999999999999,-0.11
24.356,0.09000000000000008,0.08
24.3565,-0.07999999999999996,0.16
24.357,0.0,0.11
24.3575,0.040000000000000036,0.09
24.358001,-0.10999999999999999,0.05
24.3585,0.10000000000000009,0.23
24.359,-0.09999999999999998,0.1
24.3595,0.010000000000000009,0.06
24.36,0.040000000000000036,0.08
24.3605,-0.10999999999999999,0.13
24.361001,0.10000000000000009,0.02
24.3615,-0.07999999999999996,0.36
24.362,0.030000000000000027,0.16
24.3625,0.020000000000000018,0.06
24.363,-0.09999999999999998,0.11
24.3635,0.10000000000000009,0.07
24.364,-0.10999999999999999,0.16
24.3645,0.050000000000000044,-0.07
24.365001,0.010000000000000009,0.1
24.3655,-0.06999999999999995,0.06
24.366001,0.09000000000000008,0.1
24.3665,-0.10999999999999999,0.1
24.367001,0.040000000000000036,0.15
24.3675,-0.010000000000000009,-0.02
24.368,-0.05999999999999994,0.05
24.3685,0.09000000000000008,0.1
24.369,-0.13,0.07
24.3695,0.06000000000000005,0.13
24.37,-0.020000000000000018,0.18
24.3705,-0.04999999999999993,0.07
24.371,0.10000000000000009,0.2
24.3715,-0.12,0.12
24.372,0.08000000000000007,0.05
24.3725,-0.030000000000000027,0.16
24.373001,-0.04999999999999993,0.13
24.3735,0.09000000000000008,0.05
24.374,-0.12,0.11
24.3745,0.08000000000000007,0.02
24.375,-0.040000000000000036,0.1
24.3755,-0.040000000000000036,0.05
24.376,0.07000000000000006,0.2
24.3765,-0.10999999999999999,0.05
24.377,0.09000000000000008,0.06
24.3775,-0.04999999999999993,0.07
24.378,-0.030000000000000027,0.08
24.3785,0.07000000000000006,0.17
24.379,-0.12,0.15
24.3795,0.10000000000000009,0.07
24.380001,-0.05999999999999994,0.16
24.3805,-0.020000000000000018,0.1
24.381,0.050000000000000044,0.13
24.3815,-0.12,0.16
24.382001,0.10000000000000009,0.07
24.3825,-0.06999999999999995,0.06
24.383,-0.010000000000000009,0.26
24.3835,0.06000000000000005,0.12
24.384,-0.12,0.01
24.3845,0.10000000000000009,0.18
24.385,-0.07999999999999996,0.11
24.3855,0.0,0.24
24.386,0.040000000000000036,0.1
24.3865,-0.10999999999999999,0.01
24.387,0.10000000000000009,0.16
24.3875,-0.07999999999999996,0.06
24.388,0.010000000000000009,0.18
24.3885,0.030000000000000027,0.05
24.389,-0.10999999999999999,0.21
24.3895,0.1100000000000001,0.19
24.39,-0.08999999999999997,0.15
24.3905,0.030000000000000027,0.07
24.391,0.010000000000000009,0.16
24.3915,-0.08999999999999997,0.21
24.392001,0.10000000000000009,0.15
24.3925,-0.10999999999999999,0.09
24.393,0.030000000000000027,0.14
24.3935,0.010000000000000009,0.11
24.394,-0.08999999999999997,0.06
24.3945,0.10000000000000009,0.01
24.395001,-0.10999999999999999,0.07
24.3955,0.050000000000000044,0.02
24.396,0.010000000000000009,0.26
24.3965,-0.07999999999999996,0.1
24.397,0.1100000000000001,0.04
24.3975,-0.12,0.08
24.398,0.06000000000000005,0.08
24.3985,-0.010000000000000009,0.09
24.399,-0.06999999999999995,0.06
24.3995,0.10000000000000009,0.11
24.4,-0.12,0.06
24.4005,0.06000000000000005,0.21
24.401,-0.020000000000000018,0.26
24.4015,-0.07999999999999996,0.08
24.402,0.10000000000000009,0.06
24.4025,-0.10999999999999999,0.05
24.403,0.08000000000000007,-0.02
24.4035,-0.030000000000000027,0.11
24.404,-0.05999999999999994,0.1
24.4045,0.09000000000000008,0.16
24.405,-0.10999999999999999,0.13
24.4055,0.08000000000000007,0.04
24.406001,-0.040000000000000036,0.05
24.4065,-0.04999999999999993,0.01
24.407,0.10000000000000009,0.05
24.4075,-0.12,0.16
24.408,0.09000000000000008,0.14
24.4085,-0.05999999999999994,0.1
24.409,-0.04999999999999993,0.11
24.4095,0.08000000000000007,0.15
24.41,-0.14,0.16
24.4105,0.09000000000000008,0.08
24.411,-0.04999999999999993,0.05
24.4115,-0.030000000000000027,0.3
24.412,0.08000000000000007,0.14
24.4125,-0.12,0.13
24.413001,0.09000000000000008,-0.14
24.4135,-0.05999999999999994,0.02
24.414001,-0.020000000000000018,0.36
24.4145,0.07000000000000006,0.16
24.415001,-0.13,0.37
24.4155,0.08000000000000007,0.09
24.416,-0.08999999999999997,0.11
24.4165,-0.020000000000000018,0.08
24.417,0.050000000000000044,0.12
24.4175,-0.10999999999999999,0.14
24.418,0.10000000000000009,0.01
24.4185,-0.07999999999999996,0.09
24.419,-0.010000000000000009,0.05
24.4195,0.06000000000000005,0.21
24.42,-0.13,-0.01
24.4205,0.1100000000000001,0.21
24.421,-0.08999999999999997,0.23
24.4215,0.0,0.03
24.422,0.050000000000000044,0.3
24.4225,-0.10999999999999999,0.15
24.423001,0.1100000000000001,0.15
24.4235,-0.08999999999999997,0.04
24.424,0.010000000000000009,0.1
24.4245,0.050000000000000044,0.03
24.425,-0.12,0.1
24.4255,0.1100000000000001,-0.04
24.426,-0.09999999999999998,0.14
24.4265,0.020000000000000018,0.14
24.427,0.030000000000000027,0.11
24.4275,-0.13,0.08
24.428,0.10000000000000009,0.19
24.4285,-0.10999999999999999,0.22
24.429001,0.020000000000000018,-0.07
24.4295,0.030000000000000027,0.05
24.43,-0.10999999999999999,0.27
24.4305,0.1200000000000001,-0.15
24.431,-0.10999999999999999,0.13
24.4315,0.020000000000000018,0.04
24.432,0.020000000000000018,0.06
24.4325,-0.09999999999999998,-0.02
24.433,0.1100000000000001,0.08
24.4335,-0.10999999999999999,0.25
24.434,0.050000000000000044,0.33
