t,F0,A0,F1,A1,F2,A2,F3,A3,F4,A4
0.48877,-0.286611426,0.961469416,-0.286611426,-1.052288398,0.103979135,-0.089397728,0.103979135,0.480370047,0.600428153,-1.164503958
0.48926,0.288824286,-0.852855056,0.288824286,0.970389838,-0.036351177,0.23958415,-0.036351177,-0.025230259,0.141165311,-0.576807697
0.48975,-0.080594584,0.179380368,-0.080594584,-0.115567693,-0.366140984,0.173200571,-0.366140984,-0.436953503,-0.564557732,1.677254901
0.49023,-0.058608597,0.508060643,-0.058608597,-0.499515639,-0.180481537,-0.098704355,-0.180481537,0.167208483,0.298595836,-0.097454854
0.49072,1.069733976,-0.861139924,1.069733976,1.21911788,-0.362340937,-0.150297045,-0.362340937,-0.066659283,0.662043203,-0.475001076
0.49121,0.45738352,0.058283424,0.45738352,0.316389905,-0.024679604,0.577626448,-0.024679604,-0.489223019,-0.599572452,1.728225919
0.4917,-0.515157119,1.666070945,-0.515157119,-1.417153138,-0.001336457,-0.403219407,-0.001336457,0.637024699,-0.081680311,0.886099278
0.49219,0.083350308,-0.007281517,0.083350308,0.337843122,-0.290682905,-0.084104276,-0.290682905,-0.280415812,0.132750921,-0.865300824
0.49268,0.582513645,-0.539852017,0.582513645,0.919585419,-0.076523105,0.327849382,-0.076523105,-0.649965171,-0.323526169,1.328625699
0.49316,-0.233139334,0.805663431,-0.233139334,-0.662738608,0.365368093,-0.466740829,0.365368093,0.908135495,-0.021422421,4.31E-05
0.49365,-0.511899935,0.330453022,-0.511899935,-0.332574523,-0.036622609,-0.113292124,-0.036622609,-0.145903834,0.64630015,-1.804525374
0.49414,0.039649766,-0.232591756,0.039649766,0.164099767,-0.400069976,-0.035022898,-0.400069976,-0.849938701,0.080635988,0.172098794
0.49463,-0.056165709,0.01580655,-0.056165709,-0.249365589,0.041549789,-0.65169773,0.041549789,0.62013914,0.03747831,-0.261090224
0.49512,-0.835718239,-0.507014149,-0.835718239,-0.062928824,-0.337912062,-0.462487602,-0.337912062,-0.041487919,0.375953939,-1.548143804
0.49561,-0.094437613,-0.372917472,-0.094437613,-0.188988788,-0.283897106,0.509624057,-0.283897106,-1.05854892,-0.741802788,0.423014568
0.49609,0.089593242,-1.097449464,0.089593242,0.513464019,0.534470191,0.062222737,0.534470191,0.964252432,-1.134293373,1.06792935
0.49658,-0.167995668,-0.398609179,-0.167995668,-0.146981112,-0.05345139,-0.196380853,-0.05345139,0.525461815,0.567313456,-0.804241472
0.49707,-0.346597884,-0.002825169,-0.346597884,-0.474645912,-0.419070212,1.021500853,-0.419070212,-1.503347669,0.470140822,-0.559924047
0.49756,-0.197310318,-0.695079415,-0.197310318,0.413369526,0.179708646,-0.295571523,0.179708646,0.923648295,-0.619929847,1.382366546
0.49805,-0.039065497,-0.012014848,-0.039065497,-0.00616552,0.104521999,-0.108078689,0.104521999,0.598088803,0.159894115,0.148807606
