t,FA_1,A_1,FA_2,A_2,FA_3,A_3,FA_4,A_4,FA_5,A_5
0.070312,-0.004050777,-0.814563703,-0.004050777,0.352093968,0.408525771,0.379282038,0.408525771,-1.041361723,0.115379277,0.384889404
0.070801,0.010606548,-0.329474236,0.010606548,0.153425483,0.24322372,1.206513151,0.24322372,-1.68304991,0.312438865,1.501216851
0.071289,0.344467834,0.114289375,0.344467834,0.267980121,-0.324883329,-1.588220159,-0.324883329,1.962236384,-0.265168302,-1.739083537
0.071777,0.255438157,0.545176357,0.255438157,-0.044885961,0.356410839,0.261742786,0.356410839,0.442443714,0.384911193,0.236740459
0.072266,0.246480903,0.806069672,0.246480903,-0.137741147,0.999975968,1.507944459,0.999975968,-1.33229443,0.554827587,0.600763757
0.072754,0.009249388,0.654763121,0.009249388,-0.222636789,0.182151534,-1.206069865,0.182151534,0.918514297,-0.293397224,-1.523246115
0.073242,-0.366412416,0.007675562,-0.366412416,-0.091461295,0.382468305,-0.075050012,0.382468305,-0.083292451,-0.21576769,1.371318004
0.07373,0.293981493,-0.3269937,0.293981493,0.786932515,0.70221513,1.383449857,0.70221513,-1.139806442,-0.384869788,1.518198983
0.074219,0.535013055,0.641966509,0.535013055,0.243061148,-0.386769811,-1.027748244,-0.386769811,1.480680918,-0.827575281,-0.809725734
0.074707,0.126779418,0.970492905,0.126779418,-0.476363401,-0.282268515,-0.639590498,-0.282268515,0.599042963,0.28800999,0.939409263
0.075195,0.343382106,0.699289669,0.343382106,-0.195353961,0.199251746,1.379744441,0.199251746,-2.036827923,0.894117511,0.106459991
0.075684,-0.027122492,0.19304486,-0.027122492,-0.315165714,-0.517871438,-0.836876218,-0.517871438,0.348314262,0.103164839,-2.1065722
0.076172,-0.420427372,-1.814822985,-0.420427372,0.717617386,-0.341169246,-0.708189941,-0.341169246,0.97636719,0.091493266,-0.01520323
0.07666,-0.246710931,-1.36117416,-0.246710931,0.490822719,0.33551058,1.695332655,0.33551058,-1.022463194,-0.162024165,0.761130728
0.077148,0.170208528,-0.190853504,0.170208528,0.080170596,-0.03526545,-0.420484677,-0.03526545,0.832639871,-0.704345181,-0.305530599
0.077637,0.149851133,0.340516736,0.149851133,-0.242366362,-0.393284178,-0.689921377,-0.393284178,0.582809927,-0.100951979,0.728145137
0.078125,0.613456886,1.080769048,0.613456886,-0.305254759,-0.029022515,0.964270021,-0.029022515,-1.558732058,0.051321339,-0.320967782
0.078613,-0.030651107,0.627150999,-0.030651107,-0.464858075,-0.096337636,-0.689250463,-0.096337636,0.180388206,-0.178581514,-1.750839924
0.079102,-0.362612369,-1.316438336,-0.362612369,0.73149888,0.182151534,-0.449500179,0.182151534,0.662651598,0.103164839,0.700348359
0.07959,0.11022207,-0.432868892,0.11022207,0.623377129,0.599613857,1.217136986,0.599613857,-0.538045247,-0.292311496,1.160878672
0.080078,-0.229067855,0.729542362,-0.229067855,-0.506779569,0.140893879,-0.540867621,0.140893879,0.899695794,-0.109637801,0.115194186
0.080566,-0.015179486,0.658973262,-0.015179486,-0.262834639,0.007620797,-0.575909041,0.007620797,0.244747857,0.26412398,1.173546025
0.081055,0.419654481,1.954360951,0.419654481,-0.808571235,-0.022236717,0.867769162,-0.022236717,-1.591875277,0.250552383,-1.064863959
0.081543,0.803459243,-0.134613655,0.803459243,1.015943297,-0.410927254,-0.905001713,-0.410927254,0.457821084,0.167494209,-1.389524903
0.082031,0.030149648,-0.672391434,0.030149648,0.563394304,-0.162024165,-0.437275999,-0.162024165,0.644344032,0.255438157,1.33196796
0.08252,0.153922612,0.069664345,0.153922612,0.030837431,0.624857027,1.396991246,0.624857027,-0.79132248,-0.102309139,0.325688915
0.083008,0.106150591,-0.269233523,0.106150591,0.205257933,-0.297197271,-0.212698226,-0.297197271,0.70717087,-0.224724944,-0.099282942
0.083496,-0.076794536,0.152014453,-0.076794536,-0.370303868,-0.38378406,-0.985720698,-0.38378406,0.847955682,0.223680621,0.193155653
0.083984,-0.218210577,0.194491326,-0.218210577,-0.534930375,0.460912136,1.306842529,0.460912136,-1.855506688,0.109679206,-1.57642684
0.084473,-0.597672428,-1.100957914,-0.597672428,0.050271522,0.286109967,0.194565189,0.286109967,-0.179736512,-0.270868373,-0.691189343
0.084961,0.241595129,-1.341785354,0.241595129,1.130694923,-0.21305337,-0.944677981,-0.21305337,1.796464884,-0.042051248,1.122051818
0.085449,0.69108642,0.326421381,0.69108642,0.439852091,0.483440987,0.891755886,0.483440987,-0.263708773,0.080093125,0.668636889
0.085938,0.253266702,1.044650472,0.253266702,-0.423515232,0.327910485,0.32114024,0.327910485,-0.647570537,-0.049379911,0.127756902
0.086426,0.485883874,1.59861021,0.485883874,-0.513575652,-0.490999676,-1.218860322,-0.490999676,0.397899818,0.270909778,-0.735051132
0.086914,0.074121622,1.186379568,0.074121622,-0.626394334,-0.306154525,0.061514891,-0.306154525,-0.6901938,0.203051793,-0.73306301
0.087402,-0.333297719,-1.561919089,-0.333297719,1.042111912,-0.036079746,0.189979582,-0.036079746,-0.275478802,0.305653066,0.597833893
0.087891,0.172922848,-0.827914281,0.172922848,0.9869122,-0.299640159,-0.645037829,-0.299640159,1.020763345,-0.024408172,1.282092564
0.088379,0.225580644,0.98496988,0.225580644,-0.342663998,-0.531443035,0.179552713,-0.531443035,-0.023254224,-0.569986371,0.131462318
0.088867,-0.161752734,1.039843279,-0.161752734,-0.803086353,-0.66363039,-0.192558488,-0.66363039,-0.447184564,0.52307005,-0.31148881
0.089355,0.568942048,1.480972475,0.568942048,-0.571613222,-0.545014632,-0.597507556,-0.545014632,-0.288073718,0.407982907,0.048102762
0.089844,0.156094068,-0.144264972,0.156094068,0.112119576,-0.381612605,0.539027336,-0.381612605,-0.672631095,0.346096425,-1.770253351
0.090332,-1.026534893,-2.548212276,-1.026534893,0.668715132,-0.04096552,-0.039940884,-0.04096552,0.755568343,-0.145195385,0.305155246
0.09082,-0.364783824,-1.448134495,-0.364783824,0.396582461,0.493483968,0.156846266,0.493483968,0.799158078,0.131122329,0.851574893
0.091309,-0.565914891,-0.043843266,-0.565914891,-0.815348851,0.560527657,1.08727507,0.560527657,-0.605605952,-0.056708573,-0.039676212
0.091797,-0.819160891,-0.382482617,-0.819160891,-0.835355438,0.084436036,-0.476041301,0.084436036,0.249857232,0.367539548,-0.128532341
0.092285,-0.505385569,0.793371543,-0.505385569,-1.369328162,-0.368041008,-0.518665899,-0.368041008,-0.038754711,0.361025182,-0.797002984
0.092773,-0.499142634,-1.249396153,-0.499142634,0.203275742,-0.059422892,0.099947814,-0.059422892,-0.67228021,-0.06186578,-0.907463783
0.093262,-0.936690921,-2.374106951,-0.936690921,0.705281017,-0.018979533,-0.463730948,-0.018979533,0.214774912,-0.192424543,1.006359119
0.09375,0.370796732,-0.330563702,0.370796732,0.529998694,-0.06322294,-0.317693228,-0.06322294,0.410587072,-0.183738721,1.471628917
